gameid,home,team,SEC,pctFGA2P,pctFGA3P,pctPTS2P,pctPTSmidrange2P,pctPTS3P,pctFBPTS,pctPTSFT,pctPTSoffTOV,pctPIP,pctAST2P,pctUAST2P,pctAST3P,pctUAST3P,pctASTFGM,pctUASTFGM
22201066,True,DET,14400,0.61,0.39,0.56,0.08,0.3,0.04,0.14,0.09,0.48,0.607,0.393,0.9,0.1,0.684,0.316
22201066,False,MIA,14400,0.506,0.494,0.446,0.089,0.348,0.098,0.205,0.098,0.357,0.84,0.16,0.923,0.077,0.868,0.132
22201067,True,HOU,14400,0.566,0.434,0.411,0.093,0.252,0.056,0.336,0.159,0.318,0.409,0.591,0.667,0.333,0.484,0.516
22201067,False,NOP,14400,0.635,0.365,0.496,0.051,0.333,0.145,0.171,0.12,0.444,0.552,0.448,0.923,0.077,0.667,0.333
22201068,True,MIL,14400,0.451,0.549,0.458,0.119,0.407,0.076,0.136,0.059,0.339,0.741,0.259,0.938,0.063,0.814,0.186
22201068,False,TOR,14400,0.657,0.343,0.541,0.144,0.378,0.135,0.081,0.153,0.396,0.433,0.567,0.857,0.143,0.568,0.432
22201069,True,POR,14400,0.646,0.354,0.608,0.078,0.176,0.127,0.216,0.137,0.529,0.613,0.387,0.833,0.167,0.649,0.351
22201069,False,LAC,14400,0.702,0.298,0.53,0.017,0.308,0.12,0.162,0.188,0.513,0.516,0.484,0.833,0.167,0.605,0.395
22201070,True,LAL,14400,0.59,0.41,0.414,0.072,0.351,0.072,0.234,0.063,0.342,0.565,0.435,0.923,0.077,0.694,0.306
22201070,False,ORL,14400,0.627,0.373,0.59,0.095,0.286,0.076,0.124,0.171,0.495,0.484,0.516,0.9,0.1,0.585,0.415
22201071,True,CHA,14400,0.656,0.344,0.539,0.104,0.261,0.191,0.2,0.304,0.435,0.581,0.419,0.8,0.2,0.634,0.366
22201071,False,IND,14400,0.683,0.317,0.514,0.055,0.248,0.11,0.239,0.073,0.459,0.643,0.357,1.0,0.0,0.73,0.27
22201072,True,PHI,17400,0.6,0.4,0.533,0.076,0.286,0.181,0.181,0.067,0.457,0.643,0.357,1.0,0.0,0.737,0.263
22201072,False,CHI,17400,0.649,0.351,0.587,0.183,0.193,0.128,0.22,0.22,0.404,0.469,0.531,0.714,0.286,0.513,0.487
22201073,True,NYK,14400,0.671,0.329,0.507,0.104,0.313,0.119,0.179,0.127,0.403,0.441,0.559,0.786,0.214,0.542,0.458
22201073,False,MIN,14400,0.711,0.289,0.529,0.043,0.3,0.114,0.171,0.136,0.486,0.649,0.351,0.714,0.286,0.667,0.333
22201074,True,HOU,14400,0.613,0.387,0.537,0.037,0.278,0.231,0.185,0.231,0.5,0.31,0.69,0.5,0.5,0.359,0.641
22201074,False,GSW,14400,0.455,0.545,0.446,0.033,0.421,0.231,0.132,0.215,0.413,0.556,0.444,0.941,0.059,0.705,0.295
22201075,True,MEM,14400,0.607,0.393,0.554,0.107,0.268,0.089,0.179,0.098,0.446,0.355,0.645,1.0,0.0,0.512,0.488
22201075,False,DAL,14400,0.571,0.429,0.519,0.111,0.306,0.102,0.176,0.13,0.407,0.464,0.536,0.818,0.182,0.564,0.436
22201076,True,UTA,14400,0.591,0.409,0.469,0.031,0.375,0.086,0.156,0.102,0.438,0.567,0.433,1.0,0.0,0.717,0.283
22201076,False,SAC,14400,0.464,0.536,0.367,0.05,0.475,0.058,0.158,0.167,0.317,0.545,0.455,0.842,0.158,0.683,0.317
22201077,True,ORL,14400,0.663,0.338,0.508,0.082,0.295,0.131,0.197,0.139,0.426,0.516,0.484,0.917,0.083,0.628,0.372
22201077,False,WAS,14400,0.614,0.386,0.571,0.161,0.268,0.152,0.161,0.089,0.411,0.656,0.344,0.9,0.1,0.714,0.286
22201078,True,ATL,14400,0.6,0.4,0.465,0.078,0.326,0.14,0.209,0.093,0.388,0.5,0.5,0.786,0.214,0.591,0.409
22201078,False,DET,14400,0.56,0.44,0.449,0.093,0.364,0.206,0.187,0.187,0.355,0.417,0.583,0.769,0.231,0.541,0.459
22201079,True,BKN,14400,0.641,0.359,0.587,0.092,0.248,0.138,0.165,0.165,0.495,0.531,0.469,0.889,0.111,0.61,0.39
22201079,False,CLE,14400,0.651,0.349,0.487,0.104,0.365,0.078,0.148,0.217,0.383,0.5,0.5,0.643,0.357,0.548,0.452
22201080,True,NOP,14400,0.704,0.296,0.588,0.101,0.252,0.109,0.16,0.176,0.487,0.629,0.371,0.9,0.1,0.689,0.311
22201080,False,SAS,14400,0.529,0.471,0.405,0.024,0.464,0.095,0.131,0.25,0.381,0.647,0.353,0.846,0.154,0.733,0.267
22201081,True,SAC,14400,0.457,0.543,0.404,0.055,0.468,0.018,0.128,0.055,0.349,0.409,0.591,0.941,0.059,0.641,0.359
22201081,False,BOS,14400,0.522,0.478,0.47,0.045,0.409,0.061,0.121,0.159,0.424,0.548,0.452,0.889,0.111,0.673,0.327
22201082,True,LAC,14400,0.64,0.36,0.7,0.1,0.18,0.12,0.12,0.2,0.6,0.429,0.571,1.0,0.0,0.512,0.488
22201082,False,OKC,14400,0.602,0.398,0.574,0.04,0.297,0.02,0.129,0.119,0.535,0.31,0.69,1.0,0.0,0.487,0.513
22201083,True,WAS,14400,0.701,0.299,0.769,0.192,0.115,0.096,0.115,0.106,0.577,0.425,0.575,0.75,0.25,0.455,0.545
22201083,False,DEN,14400,0.614,0.386,0.458,0.051,0.381,0.068,0.161,0.102,0.407,0.519,0.481,0.933,0.067,0.667,0.333
22201084,True,MIA,14400,0.646,0.354,0.457,0.126,0.378,0.102,0.165,0.157,0.331,0.483,0.517,0.875,0.125,0.622,0.378
22201084,False,NYK,14400,0.512,0.488,0.433,0.05,0.4,0.1,0.167,0.075,0.383,0.5,0.5,1.0,0.0,0.69,0.31
